09 22 2021 12 00 00 00000000 01110000  15.9 1534.2 288.9   1.2  -2.5   20.604  24.94     0     0 3  22
  1   1.50   0.010   0.035  -0.036 117.0 118.0 120.0   0.036   15.95
  2   2.50  -0.007  -0.013  -0.012 103.0 102.0 104.0   0.015  208.30
  3   3.50  -0.016   0.027  -0.020  92.0  91.0  93.0   0.031  329.35
  4   4.50   0.001  -0.051  -0.027  84.0  83.0  84.0   0.051  178.88
  5   5.50   0.016  -0.015  -0.011  80.0  79.0  81.0   0.022  133.15
  6   6.50  -0.034   0.004  -0.027  71.0  71.0  77.0   0.034  276.71
  7   7.50  -0.100  -0.033  -0.029  68.0  68.0  70.0   0.105  251.74
  8   8.50  -0.115  -0.051  -0.007  66.0  66.0  68.0   0.126  246.08
  9   9.50  -0.066  -0.069  -0.003  62.0  59.0  63.0   0.095  223.73
 10  10.50  -0.116  -0.065  -0.030  56.0  51.0  56.0   0.133  240.74
 11  11.50  -0.108  -0.070  -0.021  49.0  48.0  51.0   0.129  237.05
 12  12.50  -0.088  -0.100  -0.028  50.0  46.0  48.0   0.133  221.35
 13  13.50  -0.102  -0.114  -0.021  46.0  45.0  48.0   0.153  221.82
 14  14.50  -0.060  -0.092  -0.021  49.0  47.0  46.0   0.110  213.11
 15  15.50  -0.125  -0.106  -0.025  56.0  54.0  52.0   0.164  229.70
 16  16.50  -0.137  -0.172  -0.025  56.0  54.0  56.0   0.220  218.54
 17  17.50  -0.203  -0.130  -0.001  68.0  69.0  66.0   0.241  237.36
 18  18.50  -0.377  -0.154  -0.020 106.0 103.0  77.0   0.407  247.78
 19  19.50  -0.881  -0.226  -0.033 165.0 153.0 109.0   0.910  255.61
 20  20.50  -0.672  -0.218  -0.091 116.0 107.0 141.0   0.706  252.03
 21  21.50  -0.290  -0.140  -0.050  52.0  50.0  86.0   0.322  244.23
 22  22.50  -0.187  -0.194  -0.018  39.0  37.0  47.0   0.269  223.95
09 22 2021 13 00 00 00000000 01110000  15.8 1534.2 288.9   1.2  -2.5   21.060  24.95     0     0 3  22
  1   1.50  -0.024   0.034  -0.038 120.0 118.0 124.0   0.042  324.78
  2   2.50  -0.020   0.025  -0.019 101.0 102.0 104.0   0.032  321.34
  3   3.50  -0.056   0.000  -0.001  92.0  89.0  94.0   0.056  270.00
  4   4.50  -0.031   0.013  -0.038  80.0  79.0  81.0   0.034  292.75
  5   5.50  -0.042  -0.016  -0.041  74.0  72.0  73.0   0.045  249.15
  6   6.50  -0.048  -0.015  -0.028  70.0  70.0  72.0   0.050  252.65
  7   7.50  -0.012  -0.008  -0.021  66.0  67.0  70.0   0.014  236.31
  8   8.50  -0.055  -0.014  -0.023  62.0  61.0  63.0   0.057  255.72
  9   9.50  -0.108  -0.004  -0.018  57.0  55.0  59.0   0.108  267.88
 10  10.50  -0.124  -0.080  -0.027  55.0  51.0  53.0   0.148  237.17
 11  11.50  -0.140  -0.021  -0.016  50.0  49.0  52.0   0.142  261.47
 12  12.50  -0.160  -0.113  -0.020  51.0  50.0  50.0   0.196  234.77
 13  13.50  -0.093  -0.117  -0.024  49.0  47.0  50.0   0.149  218.48
 14  14.50  -0.091  -0.093  -0.002  48.0  46.0  48.0   0.130  224.38
 15  15.50  -0.090  -0.152  -0.020  45.0  45.0  46.0   0.177  210.63
 16  16.50  -0.103  -0.099  -0.004  50.0  47.0  46.0   0.143  226.13
 17  17.50  -0.080  -0.125   0.000  59.0  56.0  54.0   0.148  212.62
 18  18.50  -0.188  -0.009   0.002  86.0  85.0  76.0   0.188  267.26
 19  19.50  -0.679   0.016  -0.001 147.0 138.0  90.0   0.679  271.35
 20  20.50  -0.743   0.070  -0.034 155.0 143.0 143.0   0.746  275.38
 21  21.50  -0.378   0.019  -0.088  74.0  72.0 123.0   0.378  272.88
 22  22.50  -0.218  -0.140  -0.007  43.0  42.0  63.0   0.259  237.29
09 22 2021 14 00 00 00000000 01110000  15.8 1534.2 288.9   1.2  -2.5   21.525  24.95     0     0 3  22
  1   1.50   0.024   0.037  -0.017 118.0 116.0 119.0   0.044   32.97
  2   2.50  -0.017  -0.016  -0.033 105.0  99.0 104.0   0.023  226.74
  3   3.50  -0.072  -0.006  -0.026  90.0  89.0  89.0   0.072  265.24
  4   4.50   0.016  -0.043  -0.023  81.0  82.0  81.0   0.046  159.59
  5   5.50  -0.003  -0.027  -0.031  75.0  74.0  77.0   0.027  186.34
  6   6.50  -0.064  -0.013  -0.021  72.0  73.0  75.0   0.065  258.52
  7   7.50  -0.060   0.019  -0.006  67.0  66.0  69.0   0.063  287.57
  8   8.50  -0.078  -0.030  -0.029  62.0  61.0  64.0   0.084  248.96
  9   9.50  -0.109  -0.015  -0.037  59.0  58.0  62.0   0.110  262.16
 10  10.50  -0.131  -0.037  -0.028  58.0  54.0  57.0   0.136  254.23
 11  11.50  -0.106  -0.061  -0.024  54.0  52.0  55.0   0.122  240.08
 12  12.50  -0.061  -0.053  -0.024  55.0  53.0  56.0   0.081  229.01
 13  13.50  -0.139  -0.077  -0.034  53.0  52.0  54.0   0.159  241.02
 14  14.50  -0.131  -0.060  -0.031  50.0  49.0  50.0   0.144  245.39
 15  15.50  -0.111  -0.079  -0.012  50.0  48.0  49.0   0.136  234.56
 16  16.50  -0.133  -0.070  -0.015  51.0  49.0  49.0   0.150  242.24
 17  17.50  -0.080  -0.134  -0.035  55.0  53.0  52.0   0.156  210.84
 18  18.50  -0.166  -0.072   0.001  73.0  73.0  68.0   0.181  246.55
 19  19.50  -0.547   0.060  -0.015 109.0 104.0  75.0   0.550  276.26
 20  20.50  -0.810   0.051  -0.018 161.0 149.0 111.0   0.812  273.60
 21  21.50  -0.662  -0.003  -0.095 101.0  91.0 133.0   0.662  269.74
 22  22.50  -0.311  -0.086  -0.059  49.0  47.0  76.0   0.323  254.54
09 22 2021 15 00 00 00000000 01110000  15.8 1534.2 289.0   1.1  -2.6   21.894  24.93     0     0 3  22
  1   1.50   0.015   0.051  -0.032 119.0 117.0 121.0   0.053   16.39
  2   2.50  -0.011  -0.004  -0.025 103.0 102.0 104.0   0.012  250.02
  3   3.50   0.027   0.011  -0.015  95.0  95.0 107.0   0.029   67.83
  4   4.50  -0.006  -0.021  -0.019  86.0  84.0  88.0   0.022  195.95
  5   5.50  -0.009   0.009  -0.025  79.0  76.0  77.0   0.013  315.00
  6   6.50  -0.011  -0.007  -0.023  75.0  77.0  76.0   0.013  237.53
  7   7.50  -0.055  -0.007  -0.009  67.0  68.0  69.0   0.055  262.75
  8   8.50  -0.078  -0.048  -0.038  61.0  58.0  62.0   0.092  238.39
  9   9.50  -0.050  -0.034  -0.027  57.0  57.0  58.0   0.060  235.78
 10  10.50  -0.051  -0.047  -0.009  57.0  56.0  57.0   0.069  227.34
 11  11.50  -0.080  -0.077  -0.026  56.0  54.0  57.0   0.111  226.09
 12  12.50  -0.093  -0.122  -0.028  55.0  54.0  55.0   0.153  217.32
 13  13.50  -0.101  -0.069  -0.021  57.0  54.0  56.0   0.122  235.66
 14  14.50  -0.070  -0.106  -0.020  54.0  53.0  55.0   0.127  213.44
 15  15.50  -0.105  -0.088  -0.024  52.0  51.0  53.0   0.137  230.03
 16  16.50  -0.100  -0.113  -0.021  50.0  49.0  49.0   0.151  221.51
 17  17.50  -0.086  -0.152  -0.020  53.0  50.0  49.0   0.175  209.50
 18  18.50  -0.125  -0.076   0.000  63.0  63.0  59.0   0.146  238.70
 19  19.50  -0.222   0.008  -0.007  87.0  85.0  75.0   0.222  272.06
 20  20.50  -0.646   0.144  -0.019 148.0 137.0  87.0   0.662  282.57
 21  21.50  -0.536   0.147  -0.070 127.0 111.0 135.0   0.556  285.34
 22  22.50  -0.410   0.117  -0.073  55.0  51.0  96.0   0.426  285.93
09 22 2021 16 00 00 00000000 01110000  15.8 1534.1 289.0   1.1  -2.6   22.092  24.88     0     0 3  22
  1   1.50   0.019   0.061  -0.047 114.0 114.0 114.0   0.064   17.30
  2   2.50  -0.007   0.045  -0.012 101.0  99.0  99.0   0.046  351.16
  3   3.50  -0.061  -0.084  -0.013  91.0  91.0  92.0   0.104  215.99
  4   4.50  -0.047   0.035  -0.045  83.0  83.0  86.0   0.059  306.67
  5   5.50  -0.045  -0.044  -0.017  76.0  77.0  79.0   0.063  225.64
  6   6.50  -0.047  -0.007  -0.011  73.0  72.0  73.0   0.048  261.53
  7   7.50  -0.051  -0.034  -0.020  66.0  68.0  68.0   0.061  236.31
  8   8.50  -0.102  -0.012  -0.025  63.0  65.0  65.0   0.103  263.29
  9   9.50  -0.060  -0.030  -0.026  61.0  61.0  61.0   0.067  243.43
 10  10.50  -0.006  -0.067  -0.027  60.0  59.0  62.0   0.067  185.12
 11  11.50  -0.031  -0.065  -0.024  57.0  57.0  58.0   0.072  205.50
 12  12.50  -0.011  -0.098  -0.028  54.0  52.0  56.0   0.099  186.40
 13  13.50  -0.025  -0.065  -0.029  51.0  50.0  53.0   0.070  201.04
 14  14.50  -0.096  -0.125  -0.035  52.0  51.0  51.0   0.158  217.52
 15  15.50  -0.058  -0.103  -0.039  51.0  50.0  51.0   0.118  209.38
 16  16.50  -0.024  -0.124  -0.022  52.0  52.0  51.0   0.126  190.95
 17  17.50  -0.047  -0.110  -0.026  77.0  91.0  59.0   0.120  203.14
 18  18.50   0.000  -0.057  -0.025 118.0 131.0  96.0   0.057  180.00
 19  19.50   0.056  -0.136  -0.017 140.0 148.0 123.0   0.147  157.62
 20  20.50   0.127   0.170   0.021 176.0 181.0 143.0   0.212   36.76
 21  21.50   0.221   0.378  -0.046 181.0 183.0 183.0   0.438   30.31
 22  22.50  -0.034   0.361  -0.076 143.0 143.0 172.0   0.363  354.62
09 22 2021 17 00 00 00000000 01110000  15.8 1534.1 289.0   1.3  -2.2   21.996  24.88     0     0 3  22
  1   1.50  -0.020   0.001  -0.035 116.0 114.0 116.0   0.020  272.86
  2   2.50  -0.009  -0.011  -0.011 104.0 102.0 104.0   0.014  219.29
  3   3.50  -0.037  -0.092  -0.043  95.0  93.0  99.0   0.099  201.91
  4   4.50   0.029  -0.004  -0.029  87.0  87.0  91.0   0.029   97.85
  5   5.50  -0.036  -0.013  -0.038  81.0  81.0  84.0   0.038  250.14
  6   6.50  -0.034  -0.069  -0.006  76.0  75.0  76.0   0.077  206.23
  7   7.50  -0.028  -0.099  -0.028  73.0  71.0  74.0   0.103  195.79
  8   8.50   0.004  -0.054  -0.041  73.0  68.0  72.0   0.054  175.76
  9   9.50  -0.025  -0.042  -0.024  71.0  69.0  69.0   0.049  210.76
 10  10.50  -0.105  -0.083  -0.007  66.0  67.0  67.0   0.134  231.67
 11  11.50  -0.028  -0.033  -0.002  67.0  66.0  63.0   0.043  220.31
 12  12.50   0.007  -0.044   0.003  66.0  77.0  64.0   0.045  170.96
 13  13.50   0.011   0.040  -0.001  76.0  82.0  68.0   0.041   15.38
 14  14.50   0.029   0.055  -0.008  91.0  84.0  67.0   0.062   27.80
 15  15.50  -0.004   0.082  -0.013 104.0  85.0  71.0   0.082  357.21
 16  16.50   0.026   0.059  -0.022 109.0  92.0  76.0   0.064   23.78
 17  17.50   0.101   0.072  -0.022 110.0 103.0  90.0   0.124   54.52
 18  18.50   0.067   0.163  -0.024 119.0 112.0 102.0   0.176   22.34
 19  19.50   0.117   0.111   0.003 135.0 127.0 113.0   0.161   46.51
 20  20.50   0.147   0.390   0.018 175.0 174.0 141.0   0.417   20.65
 21  21.50   0.283   0.600  -0.032 168.0 172.0 178.0   0.663   25.25
 22  22.50   0.085   0.546  -0.018 127.0 121.0 157.0   0.553    8.85
09 22 2021 18 00 00 00000000 01110000  15.7 1534.1 289.0   1.3  -2.2   21.705  24.87     0     0 3  22
  1   1.50  -0.007  -0.045  -0.038 117.0 117.0 119.0   0.046  188.84
  2   2.50  -0.012  -0.066  -0.036 106.0 105.0 108.0   0.067  190.30
  3   3.50  -0.043  -0.015  -0.019  96.0  94.0  98.0   0.046  250.77
  4   4.50  -0.059  -0.107  -0.021  89.0  87.0  89.0   0.122  208.87
  5   5.50   0.004  -0.097  -0.019  83.0  79.0  82.0   0.097  177.64
  6   6.50  -0.091  -0.032  -0.008  78.0  74.0  77.0   0.096  250.63
  7   7.50  -0.039  -0.050  -0.032  75.0  71.0  74.0   0.063  217.95
  8   8.50  -0.028  -0.106  -0.032  68.0  70.0  72.0   0.110  194.80
  9   9.50  -0.044   0.035  -0.013  62.0  61.0  64.0   0.056  308.50
 10  10.50   0.000   0.047   0.001  62.0  59.0  59.0   0.047    0.00
 11  11.50   0.005   0.026  -0.022  60.0  59.0  58.0   0.026   10.89
 12  12.50   0.019   0.104  -0.015  61.0  59.0  61.0   0.106   10.35
 13  13.50   0.017   0.121  -0.011  57.0  61.0  62.0   0.122    8.00
 14  14.50   0.024   0.093  -0.026  57.0  64.0  65.0   0.096   14.47
 15  15.50   0.059   0.186  -0.025  62.0  74.0  69.0   0.195   17.60
 16  16.50   0.065   0.139  -0.014  71.0  87.0  78.0   0.153   25.06
 17  17.50   0.095   0.184  -0.013  85.0 103.0  91.0   0.207   27.31
 18  18.50   0.035   0.225   0.006 100.0 122.0 104.0   0.228    8.84
 19  19.50   0.185   0.122  -0.012 135.0 143.0 123.0   0.222   56.60
 20  20.50   0.285   0.443   0.016 182.0 186.0 157.0   0.527   32.75
 21  21.50   0.194   0.617  -0.018 155.0 162.0 180.0   0.647   17.45
 22  22.50   0.049   0.580  -0.040 118.0 123.0 145.0   0.582    4.83
09 22 2021 19 00 00 00000000 01110000  15.7 1534.1 289.0   1.3  -2.2   21.274  24.89     0     0 3  22
  1   1.50   0.005  -0.078  -0.034 119.0 116.0 118.0   0.078  176.33
  2   2.50   0.061  -0.081  -0.041 106.0 101.0 104.0   0.101  143.02
  3   3.50  -0.005  -0.070  -0.014  98.0  94.0  96.0   0.070  184.09
  4   4.50  -0.030  -0.034  -0.030  87.0  86.0  91.0   0.045  221.42
  5   5.50   0.043  -0.083  -0.027  80.0  80.0  84.0   0.093  152.61
  6   6.50   0.049  -0.042  -0.029  74.0  75.0  79.0   0.065  130.60
  7   7.50   0.073   0.036  -0.026  69.0  71.0  73.0   0.081   63.75
  8   8.50   0.012   0.088  -0.016  68.0  63.0  69.0   0.089    7.77
  9   9.50   0.022   0.104  -0.020  65.0  61.0  69.0   0.106   11.94
 10  10.50   0.058   0.097  -0.030  64.0  59.0  63.0   0.113   30.88
